number,review
979,"Original review: Dec. 11, 2017
I just received an odd snail mail supposedly from Uber, there's only one problem: I never used Uber, either as a driver or a rider. It came from a ""Return Mail Processing"", which runs out of a PO box in Claysburg, PA, and suggests I sign up with ""experianidworks.com"", which itself appears to be a known fraudulent site. If you receive a letter like this, beware. The website wants your SS number, everything."
980,"Original review: Dec. 11, 2017
I had a horrible experience with the Uber drivers in Miami, the communication/language barriers were awful. I get home from my trip and am charged an unknown $40 fee. Turns out, I left a mess in the back seat of someone's car. This was incredibly inaccurate and I was sent these pics, which were nothing short of a normal backseats appearance. Whatever I was looking at wasn't in my opinion a mess over $1. Very upsetting."
981,"Original review: Dec. 10, 2017
I am an Uber driver and have been doing it for the past year. Anyone who surpasses 25 Uber requests can cash out the same day, which is called Instant Pay. Lately I have been trying to cash out after working for them, and it doesn't give me an option. I spoke with 2 different supervisors with whom they tell me there is a lot of deliveries paid for through Uber Promotions and caused a red flag on my account preventing me from cashing out money I have earned. The first supervisor advised me to try taking a few rides instead of deliveries, and that should fix the issue and my money will be available the next day. I followed his advice and the next day I was able to cash out. 
Now a few days later, I get another flag on my account preventing me from cashing out. I called and spoke with Kim, an unhelpful supervisor, who is telling me that I need to do more rides to even out the promotion requests and can't tell me how many request I actually have to do. All they are telling me is I need to work more and do more request to cash out. I am already eligible for Instant Pay and should not be having this problem. The supervisor's only answer is I have too many promotion request and have to do more rides without promotions to cash out. She can't answer my question which is how in the world am I suppose to help that someone uses a promotion for their delivery or ride request? 
I am doing Uber in multiple areas and cities and I have no clue if someone is using some type of promotion to pay for their food delivery or ride request. If someone does that, why should that affect the Uber driver? How is that my fault people are using promos for their trips? That is unfair to me as an employee that I am not able to get my money that I earned because you decide to have promotions for riders or deliveries! You should not have promos then any longer. Also how in the world am I suppose to know someone used a promotion when accepting a request to make sure I take more request without promos to even it out to get paid same day as the supervisor said to do? She is telling me I can see if it's a promotion ride when I accept it, but there is nothing showing it's a promo for the drivers at all while doing a request! 
I asked if I could speak to another supervisor and the lady Kim said other supervisors would tell me the same thing and there was no one else to speak to. I asked maybe 10 times to please speak to another supervisor who can take this issue off my account and she continued to repeat herself each time and would not let me speak to someone else. I find it hard to believe a HUGE company like Uber, only has 1 supervisor available. I do not feel these employees know what they are doing. Over the last week I spoke to at least 5 employees and they all gave me different answers about my account. None of the employees I spoke to including supervisors, spoke English well. They all have trouble understanding anything that you say. I have never experienced so much horrible customer service in my life. I am going to look into switching to Lyft to drive. 
I have a friend who does deliveries only for Uber like I was trying to do occasionally like I do and she states she does not have this issue. I have driven for Uber for a year now and have never had this issue until the past 2 weeks. If I am working and making money, I should be able to receive my pay as does anyone else who is eligible for Instant Pay. If Uber wants to keep drivers' money and not pay them out same day because the driver is receiving too many promotion request, then Uber shouldn't allow promotions any longer, or you should give the driver the option to not receive those type of request if it will make you look bad for doing them and not get paid same day because of it. 
It's Christmas time and I should be able to do this on the side and cash out when needed so I can use the money for Xmas like I wanted to do, but instead I'm being treated like nothing all because Uber wants me to work a lot more rides for them in order to even out their promo rides they give me, just to pay me. Uber you are a scam and it's not right to penalize your employees for your own promotions you are giving to riders.

                    
                "
982,"Original review: Dec. 9, 2017
I have four charges on my account via a debit card that I use maybe 3 times a month. These charges were for services in California while I live all the way across the country and was thousands of miles away from California at the time of the ""service."" Not only that, but there are charges for Uber Eats all other the place and they don't even come close to serving my area.
So I attempt to follow protocol and go online and post my issues with unrecognized transactions... thinking surely that can look up the records and say like, ""Ok, you were right. Let me give you your STOLEN money back."" No way, I get these stupid robot emails as a facade from some dude with a weird name who obviously is not allowed to be a human being and I was then routed back to a series of another set of red tapes. I've had with these self-righteous stuck up jerks and their little metro robot customer service game. I don't even know how they even have even one speck of superiority given their world-renowned data breach. Dara needs to shine up his little bald head some more. Grrrr.

                    
                "
983,"Original review: Dec. 9, 2017
After my account was hacked and rides from England were charged to my credit card I decided to cancel my UBER account. UBER refuses to send me a check for an amount of money credited to my account. They claim that they do not issue checks. I had to cancel my credit card because of their customer database was hacked. They never notified their customers that the database was hacked!!! The amount of money they owe me is irrelevant, it is the principle of the matter."
984,"Original review: Dec. 9, 2017
Decided to give Uber a try so loaded their app. My first ""trip"" was to return home after dropping my car off at dealer. Evening before I spent 20 minutes setting up my account and unsuccessfully setting my first trip. The next morning it took another frustrating 15 minutes to make the app understand that I wasn't traveling FROM home but TO home. Such an easy and logical event but the idiot app designers at Uber can't see that as an option. I finally left home with anticipation of using Uber for the first time. At the dealer I waited for 45 minutes for an Uber ride that never showed. Took a cab home and on the way got two messages from Uber, the first obviously from another customer asking ""are you coming"" and the second telling me there were no Uber cars available... this in Denver! Have since deleted the app."
985,"Original review: Dec. 7, 2017
Got new phone. Trying to get app on new phone. Says account already exist. Call support no number, number on website 1300. Something fake. Says tap Uber icon on app, cant get new app installed. Never rode yet but had old account hooked up to PayPal for emergency. Tried to find support email. None I can find. No humans live here."
986,"Original review: Dec. 7, 2017
This morning, I had three charges from the UK (Uber Eats). I receive notifications about purchases per charge, as I was also involved in the Equifax breach. I'm assuming that my Uber account was hacked, as three orders were placed, and my credit card information is saved. I even got a call from a +44 country code, which is the UK, asking where I was and how to deliver my food. To top it off, my card was expired, yet Uber still authorized the charges. I canceled my card with Capital One and wrote two separate emails to Uber. I have YET to receive a response, which is pretty terrible - especially considering the breach that they neglected to tell everyone about not long ago. I like Uber, but will seriously be considering whether I want to trust Uber with my information."
987,"Original review: Dec. 7, 2017
I was ordering the Uber for my dad who doesn't speak English well. Uber notified me that I wasn't a rider, so I added my dad as a rider, and didn't realize that there is NO way to contact the driver once you add a rider. This was very confusing. I called the driver right away and could not give her ample directions to get to my dad. She drove around for 5 minutes without me being able to give her directions and my dad could not give her directions, and I got slapped with a cancellation fee. Please fix this issue or be sure to clarify to people order the Uber that they cannot contact the driver if they add another rider."
988,"Original review: Dec. 5, 2017
TLDR: Uber driver made stop for me, left with my stuff, charged me more and more, never came back and cancelled my trip after 10 minutes. -To Start: DO NOT EVER ADD STOPS. I have used Uber all over the world and asked drivers to make stops many times. This week was the last time. Story: Seattle WA USA. I had a great dinner after shopping and was in downtown Seattle. I requested an UBER, waited for the driver, who had a hard time finding the location I was at, although very easy to find. After he picked me up I asked him to stop by a store so I could grab some water before arriving at my destination. He agreed.
We found a store, he parked in front, and I told him, ""Wait here. It will take me 2 minutes."" He said, ""There may be traffic and I have to go around the block."" I said, ""Sure, just be sure to meet me right here."" He agreed. I ran in, came out 1 minute later and he wasn't there. I opened the APP, looked to see his location and it seemed he was circling the block. Suddenly he made a strange turn and started driving away from me. I tried to call, no answer, message, no answer, he then ended my trip after racking up the charges.
Worst part?? No one in UBER can ever help me. I have talked to roughly 10 people all who don't read history and repeat things. They said ""they will restrict his driving"" until my items are returned. They then said the items were returned to their office. I asked for photographic evidence, none provided and a sudden email stating that they aren't responsible for items left in a car after a trip ends!!! I was left! Abandoned then he racked up charges and stole my stuff.
I am waiting on them to reply to my latest messages, and if unsuccessful will end up hiring a lawyer which will cost more than me just buying what I lost. I hate UBER now after years of using them. I will never use them again unless my company pays and I will never trust them again. Sure maybe I should have kept my items in my hand, but I have never been deceived and robbed like this in my life.

                    
                "
989,"Original review: Dec. 4, 2017
I recently took an Uber with a friend from an event back to my apartment (both in San Francisco). She called the Uber for us, and upon exiting the car I quickly realized I left my purse (including my wallet with my driver’s license, credit card, debit card, etc.) in the backseat of the car. The only way you are able to get in contact with anyone is through the app, and only my friend can contact the driver as it was through her account. It has now been over 24 hours since the ride and attempting to contact the driver and I have not been able to get in contact with the driver nor any kind of representative from Uber (as there is no general number to call to speak with a representative). Extremely angry and will not be using Uber again."
990,"Original review: Dec. 4, 2017
When I first started using them they would quote 10 to $11 in the trip. Usually cost 10 to $11. Now the same quote and the trip is costing 15 to $18 because drivers are adding on charges that are frivolous and unethical. I have twice been charged wait times when there was no wait times. The added fees are growing. This company does not operate above board. They have no checks or balances in place. Looking for alternatives Uber."
991,"Original review: Dec. 3, 2017
On Nov. 17th 2017 I requested a Uber ride at 5:20am. Had to be at work at 6 o'clock. Am a half hour ride. The driver got to me at 5:45 am and after a 20 min. Debate with the driver of where I live at and work. Needless to say I arrived at work late. After I reported the driver to the company they promised to refund me my money back. To this day have not seen it.
Then today again I requested a Uber ride at again 5:20 am. After watching and calling the Uber driver to let him know that he was going the wrong way to my house he cursed me out and hung up on me. This was at 5:40 am. He must had refused my ride cause I was given a new driver and this driver also didn't know where to go. He also was going the wrong way and when he did finally got close to me I called him to tell him he was on the wrong street. I ended up going into a big debate with him. After 10 mins he listened to me and followed my directions to my house. I got to work today at 6:30 a half hour late again and now Uber rejects your emails and don't have a number to call to complain but they don't have a problem with double charging you for one ride or even charging you. Signed very disappointed rider.

                    
                "
992,"Original review: Dec. 2, 2017
I have been working with Uber for over 2 years in. On September 14th my account was turned off and they began a yearly background check. The date is now December 2nd and my background check is still not complete. Uber is using the company Checkr and they state that background checks normally Take 5 to 7 days. In just a couple of weeks it'll be 90 days. My background check last year took 3 hours and it was completed. 
Uber and Checkr refuse to give me any information regarding my background check and why it is taking so long. They both tell me that it's a delay in information from the courthouse. I have asked them both numerous times to tell me what courthouse they're waiting on so that I can get an attorney involved and find out why my information is being held up. Both companies refuse to give me this information. My account is still on suspension and I'm not allowed to drive for Uber although I have a very clean history with Uber with no infractions.

                    
                "
993,"Original review: Dec. 1, 2017
I ordered a pick up from airport to a gas station to meet my companion who drives trucks over the road. The driver took route that is not normally taken, but I knew the route. I do this weekly and knew the rates and routes. He didn't speak and it was a quiet ride. I got toy destination thanked him and got out. I normally get a response to rate and tip driver as soon as I get out. This time I didn't so screenshot my rate and info. I got it almost 20 mins later and it was double my original rate because he charged me for his return trip to the same airport. I contacted the number listed next to bank charge only to be told to go thru the Help on the app and then phone disconnected.
Went thru the app and nothing specific for overcharging; however I selected something. Standard response, ""We will check into it."" Several hours later I explained I have proof and they finally agreed to refund a portion. No discount or future pass. No personal customer service. My overall experience is leading me back to renting and driving myself. You can't overcharge me then give me an email and expect me to do business with you again. Please be careful and check your charges. With the lack of personal service it's not a situation you want to be in. Thanks Uber, for your lack of customer service and theft by driver, I will depend on myself from now on.

                    
                "
994,"Original review: Nov. 29, 2017
Landed at LAX and at curve at 3:10PM 11/18/2017 and called on Uber (TM) for an economy ride a little under $12 for a 3.5 mile run to work. Watched the car coming on it when it suddenly cancelled and I had to start over at 3:18PM, only this time the fee was going to be $14+ dollars. I had to take a call, and by 3:35PM it was up to $24, but they didn't show the price, I just got the 2.5x normal rate. I could have taken a taxi for $19. And the Airport wasn't that crowded. Parking for a 3 day trip would have been the same cost."
995,"Original review: Nov. 27, 2017
I arrived at the San Antonio airport and checked for an Uber. It stated $12.21, however, my luggage has not come out yet so I waited to confirm. When I received my luggage I checked again and the price jumped to $21.12. The caption stated price increase due to demand. To me that’s price gouging. I will never use Uber again."
996,"Original review: Nov. 22, 2017
I live in Springfield MA. It used to cost $6.50 one way to go 5 minutes away. Now it's $10.50 one way! That's a drastic increase! I only used them infrequently as I'm receiving disability and have financial hardship. Now I can't afford them at all! As a former dental hygienist, in my opinion this is unethical and unprofessional business practices."
997,"Original review: Nov. 22, 2017
I accidentally posted the wrong address. I tried to tell the driver the was incorrect. He would not listen. He kept driving in the wrong direction for several miles. The trip was a twice the amount for the same trip I took early. I guess with Uber the customer is not always right. The driver padded the fare by not listening."
998,"Original review: Nov. 21, 2017
Sadly I have not had very good service in Edmonton by Uber in the last few months. I have been sworn at by drivers, insulted by drivers, had advances made toward me by drivers, and more. Most drivers refused to come into my condo complex because the GPS shows my address as in the middle of the road. If I pin the address as suggested on their website they go to the wrong address and then cancel the trip. I regularly get double charged and have to request a refund. Also I have been noticing that in the last few weeks I have be quoted a rate, charge the rate, then refunded that rate, and charged a higher rate every trip. The saddest part of all is that in Edmonton Uber is the safest way to travel outside of the bus. I wouldn't get into a cab in this city ever and now I don't ever want to get into an Uber. I have contact Uber about my issues as well and been threatened multiple times. Uber is all about $$. They could care less about their customers."
999,"Original review: Nov. 16, 2017
I am sad and angry, I have bad experience with Uber before but this time has been the worse! I left my Quinny Buzz Xtra on the Uber last Sunday and I called several times to the driver but he never answer any of my calls, two days after he finally text me back about the items left on the vehicle and he told me that he is not the owner of the car, that he gave it back to the owner on Monday at 6 pm. That my stroller was probably there, so I request to call the owner of the car in that case and he said he didn't have a number to reach the guy. 
So to this I take action saying that I was going to track the plate # so I could contact him. Next this driver (Cristian) send me a pic with a number telling me that he believe that was the contact info for Gustavo, owner of the car. So I called, no answer, send messages, and let know Cristian that I couldn't reach Gustavo... Then he says that Gus was working, long story short, Gustavo owner of the car used for Uber called me and I explain the situation. To this he says that he had to call the police on Cristian because he wouldn't answer calls, messages or nothing and he wasn't paying his commission for using the car to work... ok! So Uber support just keep saying relax, “I am sorry we can't do anything because they are contractors.” Really?! So Cristian stole my stroller ($500) and it's all good. I should sit down and be happy about it. Now I got to buy a new one. This is really disappointed. #ubercostarica#

                    
                "
1000,"Original review: Nov. 13, 2017
On 11/12 I was trying get answer why my account was charged twice from ride on 11/11. However my question was never answer (within 4th separate messages) each time I have received the same respond (automatically respond) that was unclear and not on topic. On 11/11 my account was charged in amount of $14.13 and $1 for tip and on 11/12 my account was charged again in amount of $14.64. When I asked why my account was charged twice, customer service explanation for addition ""waiting fees"" charge which is 2 mins. Which is unclear why I was charged twice in amount of $14. My experience with Uber customer service was frustrated and unsatisfied."
1001,"Original review: Nov. 12, 2017
We had a 15 minute ride from friend's house around 11pm, nothing out of the ordinary. In the morning, driver send us a $150 fee for cleaning along with pictures of vomit??? RIDICULOUS!!! Why don't they charge the person that actually did it??? So frustrating to deal with it now."
1002,"Original review: Nov. 11, 2017
Multiple times I have asked for support from Uber and I get nonsensical responses from the non-existent response team. It is beyond frustrating. Aside from not having any customer service team, they have no address. I have tried countless ways to research a physical address with phone numbers but there are none. I do not know how a company can operate like this. Have plenty of resources for their drivers, but none for their customers."
1003,"Original review: Nov. 9, 2017
Out of desperation, I signed up for Uber for an appointment. Registration was easy, and the app kept me informed about the time of arrival, which was FAST. A driver happened to be in my area and came right away. I was texted a photo and his ID by Uber, so I was reassured - but I did forward it to a family member as a security precaution. The driver was SO kind - congenial and eager to please. It was such a great introduction to Uber and I have been happy ever since."
1004,"Original review: Nov. 9, 2017
I had just completed running the New York Marathon and had requested an Uber Pool ride back to my hotel. First, let me tell you what started out right: The driver agreed to the pick up and drop off locations via the app. I then called and spoke with the driver to let him know that the pick up location was actually blocked off due to the marathon, and we agreed on another pickup location 1 block away before the race road block. Before I was picked up, I got a notification that another rider would be joining for part of my ride. I was picked up by the driver at the spoken agreed upon location; shortly the 2nd passenger was picked up and dropped off. Now here is where it all went wrong: Moments after continuing to my destination, I got a notification via the app on my phone that my ride had ended.
I asked my driver what was going and he claimed, ""Gee I don't, I have another passenger to pick up now and your ride is over so you need to get out now"". Still confused, I asked him again how my could be over when we were still far from my agreed upon destination? This time he clearly played dumb, saying over and over again that he doesn't understand how is Uber app works, and I had to get out. In the middle of the street, by myself, in a strange location that was not even anywhere on my route.
Not wanting to argue, as it was clear that he had a new ride request for another that would clearly be more lucrative for him, and myself not wanting to continue the ride with this jerk, I peacefully exited the car where I stood in front of a private residence mid-town, shivering cold in the 50 degree, rainy weather, in the dark, having just completed running the 26.2 mile marathon and wanting nothing more than a safe ride back to the hotel to seek much needed rest, warmth and safety. No sooner than I exited the car, the driver was already scrawling his new fare's name of a piece of paper and standing outside his car, in the street, to meet his new fare, not once even having inkling of conscientiousness for what he had just done to me. And the driver still had the nerve to charge me $10 partial fare!!
Not excited to be using the Uber app again, but not on a street where any taxis were coming by and not having another other apps installed (such as Lyft), I requested a new ride. I was connected shortly with another driver that was 10 minutes away. 10 minutes is not an very long amount of time, if you are warm and safe, but again, dressed in running clothes, weary, and expecting to be a in safe warm car, I was stranded on the street to pace, alone, to wait for this driver. Also, this being not on a main street, and traffic very heavy due to the marathon rode closures, the 10 minute wait for him to be able to get to me was realistic. To my eternal happiness, he arrived within 5 minutes, and delivered me safely and nicely to my hotel.
The next day, finding the only way to file a complaint to Uber was via the app. I sent my complaint and within a couple hours was replied to with a wet blanket apology for the ""inconvenience"" and offered me a $5 credit of the $10 I was charged. To make this even worse, Uber credited the $5 towards another driver, one we had taken the day before!! I wrote back to have this corrected, to not harm the previous day's good driver's reputation or take from his well earned pay, and to preserve my good relationships with all the other good Uber drivers I have rode with.
Uber then wrote back with a full credit of my $10 (better, but certainly not enough to make up for the dangerous situation this driver put me in), and no mention of any discipline for this driver. I told Uber I would never use them again and would use Lyft from now on. Although all my many, many Uber experiences over the past few years that I have had have been 5-star, this one bad apple ruined Uber forever with me.

                    
                "
1005,"Original review: Nov. 8, 2017
My appointment time for auto repairs required a drop-off early am for it to be there and available for a mechanic to begin the work. The Uber app was easily installed on my mobile device and was followed with the required information being filled onto the blanks. When typing a phone number, it gave an order to check SMS texts for a confirmation code to be used along with the number. No text sent with first try at 7:30 am. More tries, no texts and had to give up. Four hours later the texts with codes were sent at 11:08 am. Two attempts were unsuccessful at emailing Uber headquarters in San Francisco that included a few lively suggestions. As follows; I suggest someone there unclog your ride summoning impacted website rectum by swallowing an online laxative, followed by a readily available Fleets enema from a pharmacy.
I now must wait 1 1/2 weeks to have repairs done from being a no-show at the shop. That means safety concerns to drive as is. When using Uber once 9 months past, things went far better and a problem cleared up pronto by an apologetic and most courteous driver. What a letdown on this go round. If the world's greatest ability is dependability, why then are public service companies not aware of and learning such an important aspect of the business world? 
This incident is a second of its kind with the same problem and still no fix. Then, unlike now, I had made contact with their home base, only to be treated rudely and with great disrespect. Perhaps a reply is better not forthcoming after all. I at least have a choice of 4 codes and might need one to request service 12 hours ahead of when it is needed. Uber folks, you had oughta uncrimp the do-do contained in the app from the Google store.

                    
                "
1006,"Original review: Nov. 6, 2017
Whether I am using Uber for a ride service or Uber Eats ordering food the service has been terrible. Out of the 10 times ordering food from Uber Eats 9 times food has been forgotten. Every time I have requested a refund for the missing item until recently they told me to refrain from this type of behaviour and told me they would be restricting my account. Not sure why I should be punished for their drivers not checking the food prior to delivery. Recently while traveling I ordered an Uber to the place I was staying, I notified the driver it was a tricky place to find and even provided extremely specific instructions. I attempted to contact the driver numerous times but had no response. The driver cancelled the trip and I was charged a cancellation fee. I guess moral of the story is this company makes the consumer pay for their employees mistakes. Please refrain from using this service if possible, I know I'll be finding alternatives."
1007,"Original review: Nov. 3, 2017
Why is it so hard for you to understand that if I am trying to retrieve Uber cab, with the same email just a different phone number that it is me? If you say it is for security and you don’t recognize the phone number, then your security system is **. Because therefore if it was any good, your security system would link my original number to my new number which is under the same account and recognize that it is me. So stop rejecting my new number. What do you think I want everyone calling me on my private or personal number. Do not respond to this until you have fixed your problems. Or IT will only tell ""you people"" TO SHUT THE ** UP. And now I just tried to send this and you would not let me go past too. Why would I put any amount of stars when you serviced me zero amount of stars."
1008,"Original review: Nov. 2, 2017
I was in South Beach, FL. I was staying at a major hotel and ordered an Uber. The driver could not find me which was ridiculous. I was waiting out front of the hotel which was located on the main drag of SOBE. He hung up on me and charged me $5. I disputed the charge so now I have a credit on my account. Uber isn't available where I live. The last time I ordered a car in South Beach the driver hardly spoke English and couldn't find TJ MAXX. My advice... don't use Uber in Florida."
1009,"Original review: Nov. 1, 2017
I had damage to my vehicle due to a Uber driver my upstairs neighbor used. The trim from the rear wheel well was broke off. The driver didn't leave a note. He kept calling my neighbor. Now he will not answer his phone. Can't get a number for Uber to locate the driver."
1010,"Original review: Nov. 1, 2017
Uber has made travel so much simpler for me. I use it to get to and from the airport, or to get to stores in unfamiliar areas and sometimes to get to events or a party where I don't want to drive or find parking."
1011,"Original review: Oct. 31, 2017
I use Uber fairly frequently. Overall it has been a good service. I’ve had amazing drivers. You cannot call them. Only go through some steps to send them messages. I want to just call them if I have an issue. It’s so frustrating. However, two things have happened in a short time that will make me be very wary in using Uber in the future. Might just go back to taking cabs.
The first didn’t leave us feeling good about Uber but we let it go. My brother called an Uber to pick us up from the beach. The Uber driver arrived with an Uber and Lyft sign in his window. We didn’t get a good feeling about him from the outset. He dropped us off at our home as arranged. He accepted a cash tip (this was before you could tip on the Uber App.) Later Uber retroactively charged my brothers card for $50.00 because the driver reported we had gotten sand on his floor mats. He picked us up at the beach... My brother contacted Uber and said that even though it was ridiculous in the first place, the $50.00 charge was not in line with their own criteria on their website. They refused to refund anything. Period.
Now today, I see an email from Uber in my inbox. ""You rode with Dario 4.17 miles. Trip Time 00:12:04 Car UberX,"" with the following message: ""Adjustment Care due to different drop off locations. Ricardo (whoever that is), Previous charge: $25.35. Charged Personal **: $233.58. New Total: $258.93."" Plus I thought the driver was good and am a generous tipper in general so I also gave him a $10 tip through Uber.

                        
                    
                        
                            We did not and I again 100% state we did not change any stops routes or anything of the sort period! I just checked my bank account and sure enough for one 4.17 mile ride which lasted about 12 min. I had the three deductions, one for $25.35, one for $10.00 and one for $233.58, all withdrawn from my bank account.
That is the most expensive 4 mile ride I have and will ever have taken. You can’t speak to a human and I get no email confirmation that my dispute has even been received. I have heard zero back. This is beyond horrifying. After now writing this I’m even more upset...

                    
                "
1012,"Original review: Oct. 31, 2017
Last night I returned home from the airport using Uber. Shared a ride. The other person paid $36.97 vs my $58.42. First stop was their residence (farther away from the airport than my place). Needless to say, I was not happy when I heard that my fare was 58 percent more. Uber says it's ""dynamic pricing"" and will not issue me a partial refund. And... with the company burning through its cash at over $1 billion a year and turmoil in the executive ranks, one would think the company might be more sensitive to such inequalities.
The algorithms used by Uber are suspect. I live in a City that has contracted with Uber to provide local transportation free of charge...using a City vehicle. It took me 40 minutes to arrive at a destination that normally takes 5 minutes...picking up people along the way/dropping them off. I've shared my experience with the City, and they are aware of Uber's shortcomings...plan to address such with the company. Needless to say, Uber is struggling with the ""pool"" algorithms and has chosen to not work with its customers when inequities surface. Uber has lost a loyal customer!

                    
                "
1013,"Original review: Oct. 31, 2017
Did you notice that every time you call Uber to complain or ask or do anything over the phone that they intentionally talk slow and always doing some checking in the background and usually the phone call last anywhere between 30 minutes to hour and a half. My phone call was 1 hour and 36 minutes. I have the file phone call recorded. This is not the first time I noticed that the payments are not correct but it is the first time I decided to stand up and call them on it.
After 30 minutes talking to regular agent in 45 minutes waiting for a supervisor to pick up and a 15 minute. They decided to give me the $6 they stole at the trip and when I asked for my time to be compensated how they advertise $35 an hour I simply stated the $50 will do for an hour and 30 minutes or wasting my time. They said that they only get paid if we have a rider and there is no Riders right now to be charged because I was not driving. There's millions of us. If they steal $6 from each and every one of us per day that's six million dollars profit. Now we all know that those amounts are much higher than $6 a day that they somehow unfortunately keep in their wallets. Uber in the past 5 years did not become a 70 billion dollar company because they're paying their Partners fair. Think about it.

                    
                "
1014,"Original review: Oct. 30, 2017
Do not lose anything in Uber otherwise your experience will be a nightmare getting them to recognize you. My friend had the ride set up however at the end of the trip I got dropped off leaving my wallet in the black leather seats, black wallet at night. Anyhow, my friend needed to provide verification about her account, no problem, except around 40 emails and 2 days later they didn't accept the email address from her account she provided at signing nor her phone number that she was calling from that she used for this ride. 
It was uselessness forwarding this info to them even as they weren't confirming her own or my accounts. It's mind boggling how the messages we were getting back were not recognizing the very content info we used for the ride. Not sure where their tech support is in terms of usability. I will not be letting them charge a $15 fee for a returned item to say the least! We are threatening police at this point. Apparently the driver has something it's Uber slowing down this whole process increasing the frustration.

                    
                "
1015,"Original review: Oct. 30, 2017
My last 2 experiences with Uber have made me use taxis which turned out to be preferable to Uber. Two weeks ago called for an Uber and my driver did not speak or understand English so I immediately got out and was still charged on Tuesday. October 24th I requested an Uber to take me to midway airport. When I received notification that my driver had arrived--I called since I was already waiting outside. He informed me that he was in Lombard. And here I was at the place I am always picked up in Chicago. Guess I am on to Lyft."
1016,"Original review: Oct. 30, 2017
Our party of 6 consisted of three of my adult daughters and two friends going wedding dress shopping. We needed an SUV to accommodate all of us, and Uber showed a driver 20 minutes away in Sanford, Florida. Perfect, we thought as the reservation wasn't for another 40 minutes. We waited, and waited but the map showed the driver staying at the same place originally shown, yet the eta remained the same. We thought that the map must be frozen, so a reset was done, and then it showed that the driver had picked us up and was on route to someplace other than where we were going AND WITHOUT US! To make matters worse, our credit card was charged and we were very late for our appointment. There must be a way for Uber to assure that your card is being used for YOUR trip and not for someone else."
1017,"Original review: Oct. 29, 2017
75% of the time I'm extremely satisfied, but here are my pet gripes: 1) No flat rate from airport, as there are with taxis and limos. From JFK we got stuck at the midtown tunnel and my fare (time + distance) was almost twice the flat taxi fare. 2) The driver's profile does not indicate if they have a FasTrak transponder. Coming from LAX to DTLA on two occasions we were stuck in traffic on the I-110 because the driver didn't have FasTrak and so we couldn't use the express lanes. When a driver accepts the request, if the snapshot description (name, make of car, license #, etc) also had ""Can use FasTrak express lanes - Yes/No"" I would know to reject a pickup from a driver if they lack FasTrak. Another solution would be to have an option in my profile's preferences, to only accept drivers who have FasTrak.
3) Drivers often don't know the city, relying too much on GPS and so unaware of their surroundings. Taxi drivers seem to know the popular destinations and fastest/shortest way to get there depending on conditions, whereas Uber drivers usually are like little automatons, staring at GPS and unaware that Waze is sending us on an unnecessary 5-mile detour. I recently had a ride to the Broad Museum in downtown LA from my home which is 4 miles away. The driver never heard of it, and his GPS wasn't working.
When I told him it was on Bunker Hill, next to Walt Disney Concert Hall, The Music Center, and near the County Courthouse he had never heard of any of them. Those are all iconic L.A. landmarks - nobody should be allowed to drive for Uber if they don't know the fundamental layout of the city and its landmarks. 4) The Uber App on my iPhone hogs too much memory. I have limited storage capacity on my phone and so had to review and remove some items. The Uber app, >150mb, was one of the biggest apps and so I removed it. By comparison, Lyft's app is only 74mb.

                    
                "
1018,"Original review: Oct. 29, 2017
I would file a class action suit against Uber. I do not use this service and get billed! My card was taken and used. This company is not checking identification to match cards used for service purchases. This company and/or drivers are allowing minors to ride without permission and are using unauthorized debit & credit cards. There is no direct contact number to resolve these issues unless you create an Uber account. Has this happened to anyone else?"
1019,"Original review: Oct. 29, 2017
If I could give 0 stars I would. Uber has STOLE my MONEY and has made 3 unauthorized charges to my credit card. On top of that, they are not even taking responsibility for it and continuously keep marking my issue as resolved even though I have proof such as my bank statements. There is no phone number or place I could go therefore they are taking advantage of that. There are random charges on my credit card that total to over $30 and I did not use my Uber app for a few weeks. When I asked them to explain those charges they say they don't know and just ignore me and mark it as resolved. 
Also, just recently, I had to wait for 3.5 hours to have my food delivered through UberEATS, I called UberEATS and complained and all they said they can do is give me a 50% refund, and you know what? They DIDN’T give me that either! I have already called UberEATS 7 times now and they keep saying they will process it but they never end up doing it. As soon as I find a lawyer I am suing UBER for lying, for making unauthorized charges to my credit card, and more. It is ILLEGAL, federal crime to steal money.

                    
                "
